 Transaction  No  , Vendor ,Category,Amount
5201136048,ROYAL MAIL GROUP PLC,General,"£1,722"
1900801673,DRAPER ELECTRICAL LTD,"Construction, Property and Fac Man","£1,720"
8001766792,SILVER BIRCH CARE LTD,"Construction, Property and Fac Man","£1,719"
8001801928,REDACTED PERSONAL DATA,Temporary Accommodation,"£1,719"
1900801340,DSI BILLING SERVICES,General,"£1,716"
8001798726,TLC GROUP LIMITED,Temporary Accommodation,"£1,716"
8001770013,SEVACARE (UK) LTD,Social care,"£1,716"
8001792453,SEVACARE (UK) LTD,Social care,"£1,716"
8001766834,STEP AHEAD SERVICES LTD,"Construction, Property and Fac Man","£1,715"
8001792650,SEVACARE (UK) LTD,Social care,"£1,715"
8001802139,BROWNLOW ENTERPRISES LTD,Temporary Accommodation,"£1,714"
8001801898,TORRINGTON HOMES,Temporary Accommodation,"£1,714"
8001802021,EASTBROOK HOUSE RESIDENTIAL HOME,Temporary Accommodation,"£1,714"
1900801926,THAMES WATER UTILITIES LTD (PROPERT,Energy and Utilities,"£1,712"
8001803551,BARCHESTER HEALTHCARE HOMES LTD,Social care,"£1,710"
8001784201,SEVACARE (UK) LTD,Social care,"£1,708"
1900802193,THAMES WATER UTILITIES LTD,Energy and Utilities,"£1,707"
8001782902,TOWER ESTATES (LODGE) LIMITED,"Construction, Property and Fac Man","£1,705"
8001782937,W M PROPERTY ASSOCIATES LIMITED,Temporary Accommodation,"£1,705"
8001771480,GATEWAY LEGAL & PROF SRVS (UK) LTD,Temporary Accommodation,"£1,705"
8001777041,ONE HOUSING GROUP LTD,Social care,"£1,701"
8001781581,EXTRA MILE CARE COMPANY,Social care,"£1,701"
8001801973,REDACTED PERSONAL DATA,Temporary Accommodation,"£1,699"
5201138214,REDACTED PERSONAL DATA,Sport and Leisure,"£1,693"
8001787021,DILIGENT CARE SERVICES LTD,Social care,"£1,690"
1900800509,BARNET ENFIELD+HARINGEY MH TRUST,People and Recruitment,"£1,686"
8001803657,SPRINGDENE NURSING & CARE HOMES LTD,Temporary Accommodation,"£1,686"
8001772241,CIRCLE OF CARE SERVICE LTD,Social care,"£1,686"
8001766844,ATLAS PROPERTY LONDON LTD,"Construction, Property and Fac Man","£1,685"
8001798765,MAGICARE LTD,Temporary Accommodation,"£1,685"
5201137045,RINGWAY JACOBS LIMITED,Public Realm,"£1,682"
1900801134,R & I ELECTRICAL SERVICES LTD,"Construction, Property and Fac Man","£1,682"
1900801584,NORTHUMBERLAND PARK HOUSE,Temporary Accommodation,"£1,680"
8001774981,ASHNESS CARE LTD,Temporary Accommodation,"£1,680"
8001778701,MAREGO LTD,Social care,"£1,680"
1900801585,NORTHUMBERLAND PARK HOUSE,Temporary Accommodation,"£1,680"
5201136268,RINGWAY JACOBS LIMITED,Public Realm,"£1,679"
8001798725,ABBEY RAVENSCROFT PARK LTD,Temporary Accommodation,"£1,677"
8001803599,FOUR SEASONS 2000 LIMITED,Temporary Accommodation,"£1,675"
8001766886,ATLAS PROPERTY LONDON LTD,"Construction, Property and Fac Man","£1,670"
8001766890,ATLAS PROPERTY LONDON LTD,"Construction, Property and Fac Man","£1,670"
8001802170,CIRCA CARE LTD,Temporary Accommodation,"£1,666"
8001766825,FINEFAIR LTD,"Construction, Property and Fac Man","£1,661"
5201136879,REDACTED PERSONAL DATA,Public Health,"£1,660"
8001766875,ATLANTIC LODGE  LTD,"Construction, Property and Fac Man","£1,656"
5201136083,REDACTED PERSONAL DATA,Sport and Leisure,"£1,655"
5201135863,LEISURE MATTERS (UK) LTD,People and Recruitment,"£1,650"
8001802130,DR FRENCH MEMORIAL HOME LTD,Temporary Accommodation,"£1,650"
8001803638,HOMELY CARE LTD T/A ST THERESA'S RE,Temporary Accommodation,"£1,650"
8001766841,ATLAS PROPERTY LONDON LTD,"Construction, Property and Fac Man","£1,650"
8001766832,ATLAS PROPERTY LONDON LTD,"Construction, Property and Fac Man","£1,650"
8001766765,LCS PARTNERSHIPS LTD,"Construction, Property and Fac Man","£1,649"
5201135886,MOYGLEN CONSTRUCTION LTD,"Construction, Property and Fac Man","£1,640"
8001798688,BROOKLAND HOMES LTD,Temporary Accommodation,"£1,634"
1900802067,OFFICE OF COMMUNICATIONS,IT and Telecoms,"£1,630"
8001792512,SEVACARE (UK) LTD,Social care,"£1,628"
8001785081,SATELLITE CONSORTIUM LIMITED,Social care,"£1,628"
5201136628,WARDELL ASSOCIATES LTD,Learning and Development,"£1,625"
8001801902,OURRIS PROPERTIES LIMITED,Temporary Accommodation,"£1,625"
8001779781,DILIGENT CARE SERVICES LTD,Social care,"£1,624"
8001779741,DILIGENT CARE SERVICES LTD,Social care,"£1,622"
8001798779,MULLINVAM LIMITED,Temporary Accommodation,"£1,619"
5201136388,REDACTED PERSONAL DATA,Sport and Leisure,"£1,619"
8001759561,GREEK+GREEK CYPRIOT COMM OF ENFIELD,Social care,"£1,617"
1900802030,BRETSA LTD,People and Recruitment,"£1,615"
8001798848,VENETIA RESIDENTIAL CARE HOME,Temporary Accommodation,"£1,613"
8001766852,STEP AHEAD SERVICES LTD,"Construction, Property and Fac Man","£1,612"
8001771363,WEST LODGE LIMITED,Temporary Accommodation,"£1,612"
8001771469,ATLAS PROPERTY LONDON LTD,Temporary Accommodation,"£1,612"
1900800511,BARNET ENFIELD+HARINGEY MH TRUST,People and Recruitment,"£1,609"
8001798866,WATERFALL HOUSE LTD,Temporary Accommodation,"£1,608"
1900800514,BARNET ENFIELD+HARINGEY MH TRUST,People and Recruitment,"£1,607"
1900800508,BARNET ENFIELD+HARINGEY MH TRUST,People and Recruitment,"£1,604"
1900801304,FINEFAIR LTD,Temporary Accommodation,"£1,602"
1900799712,FINEFAIR LTD,Temporary Accommodation,"£1,602"
1900800479,BARNET ENFIELD+HARINGEY MH TRUST,People and Recruitment,"£1,601"
1900800481,BARNET ENFIELD+HARINGEY MH TRUST,People and Recruitment,"£1,601"
5201137997,DIAMOND BUILD PLC,"Construction, Property and Fac Man","£1,600"
8001790261,DEVELOPMENT & LEARNING OPPORTUNITIE,Social care,"£1,600"
1900800513,BARNET ENFIELD+HARINGEY MH TRUST,People and Recruitment,"£1,598"
200343827,CYPRIOT COMMUNITY CENTRE,Social care,"£1,595"
8001798247,KARLAMAIN LTD,Temporary Accommodation,"£1,583"
8001766873,PHOENIX COMMUNITY CARE LTD,"Construction, Property and Fac Man","£1,583"
8001766901,PHOENIX COMMUNITY CARE LTD,"Construction, Property and Fac Man","£1,583"
8001766889,PHOENIX COMMUNITY CARE LTD,"Construction, Property and Fac Man","£1,583"
5201136845,REDACTED PERSONAL DATA,Sport and Leisure,"£1,579"
8001798263,THE GRANGE,Temporary Accommodation,"£1,579"
8001788541,KISHARON,"Construction, Property and Fac Man","£1,576"
8001788521,KISHARON,Social care,"£1,576"
5201138255,G W TWILLEY & SON LTD,Transport & Travel,"£1,574"
8001770232,SEVACARE (UK) LTD,Social care,"£1,572"
8001792670,SEVACARE (UK) LTD,Social care,"£1,572"
8001766826,FINEFAIR LTD,"Construction, Property and Fac Man","£1,572"
8001798328,KINGSLEY HEALTHCARE,Temporary Accommodation,"£1,570"
8001779821,EXTRA MILE CARE COMPANY,Social care,"£1,569"
8001766864,ATLANTIC LODGE  LTD,"Construction, Property and Fac Man","£1,568"
5201136002,NORTHGATE INFORMATION SOLUTIONS UK,IT and Telecoms,"£1,565"
8001798863,THE TUDORS RESIDENTIAL CARE HOME,Temporary Accommodation,"£1,563"
1900801905,BT PAYMENT SERVICES LTD,IT and Telecoms,"£1,562"
8001803552,ANCHOR TRUST,Temporary Accommodation,"£1,562"
8001798359,LITTLE SISTERS OF THE POOR,Temporary Accommodation,"£1,562"
5201136657,FRONTLINE STAFFING LTD,People and Recruitment,"£1,560"
5201136130,FRONTLINE STAFFING LTD,People and Recruitment,"£1,560"
5201136132,FRONTLINE STAFFING LTD,People and Recruitment,"£1,560"
5201138085,FRONTLINE STAFFING LTD,People and Recruitment,"£1,560"
5201136732,FRONTLINE STAFFING LTD,People and Recruitment,"£1,560"
8001780821,EXTRA MILE CARE COMPANY,Social care,"£1,560"
8001802186,ASTON GRANGE LTD,Social care,"£1,554"
8001798282,THE LIMES RESIDENTIAL CARE HOME,Temporary Accommodation,"£1,554"
8001798264,IGNICOLL t/a THE LODGE,Temporary Accommodation,"£1,553"
8001766876,ATLAS PROPERTY LONDON LTD,"Construction, Property and Fac Man","£1,553"
8001776701,TURKISH CYPRIOT COMMUNITY ASSN.,Social care,"£1,553"
8001781121,EXTRA MILE CARE COMPANY,Social care,"£1,551"
8001782919,TOWER ESTATES (LODGE) LIMITED,"Construction, Property and Fac Man","£1,550"
8001766877,MANHATTAN PROPERTY SERVICES,"Construction, Property and Fac Man","£1,550"
8001791481,HOFFMANN FOUNDATION FOR AUTISM,Social care,"£1,545"
1900801393,BLACKBERRY PRODUCTIONS LTD,Children and Education,"£1,545"
5201137346,REDACTED PERSONAL DATA,Sport and Leisure,"£1,544"
8001791521,HOFFMANN FOUNDATION FOR AUTISM,"Construction, Property and Fac Man","£1,544"
8001798759,MAGICARE LTD,Temporary Accommodation,"£1,543"
8001798261,HOMEFIELD COURT,Temporary Accommodation,"£1,541"
5201136003,PORTOBELLO PARTNERSHIP LTD,Learning and Development,"£1,540"
5201136839,REDACTED PERSONAL DATA,Sport and Leisure,"£1,538"
8001773741,CIRCLE OF CARE SERVICE LTD,Social care,"£1,536"
8001766833,PHOENIX COMMUNITY CARE LTD,"Construction, Property and Fac Man","£1,534"
8001803497,PAT SHAW HOUSE,Temporary Accommodation,"£1,534"
8001766812,PHOENIX COMMUNITY CARE LTD,"Construction, Property and Fac Man","£1,534"
1900801068,FORENSIC PATHOLOGY OPINION LTD,General,"£1,532"
8001798857,VENETIA RESIDENTIAL CARE HOME,Temporary Accommodation,"£1,529"
8001798385,HAIL LTD,Social care,"£1,528"
8001766836,OAK TREE CARE SERVICES LIMITED,"Construction, Property and Fac Man","£1,528"
8001766908,ATLANTIC LODGE  LTD,"Construction, Property and Fac Man","£1,520"
8001771493,GATEWAY LEGAL & PROF SRVS (UK) LTD,Temporary Accommodation,"£1,519"
8001771462,GATEWAY LEGAL & PROF SRVS (UK) LTD,"Construction, Property and Fac Man","£1,519"
1900801567,CHRISTOPHER HOUSE (LONDON) LTD,Temporary Accommodation,"£1,519"
1900801433,BRETSA LTD,People and Recruitment,"£1,518"
8001798909,ST MUNGOS COMMUNITY HOUSING ASSOCIA,Temporary Accommodation,"£1,514"
1900801141,JON STROUD LIMITED,General,"£1,514"
8001776441,ST ALEX LTD,Social care,"£1,512"
1900801252,JLA LTD,"Construction, Property and Fac Man","£1,509"
8001793261,VINEYARD (UK) SERVICES LTD,Social care,"£1,506"
1900801570,CHRISTOPHER HOUSE (LONDON) LTD,Temporary Accommodation,"£1,506"
1900800870,AGILISYS PROFESSIONAL SERVICES,People and Recruitment,"£1,505"
1900800946,SUGARMAN GROUP LTD,People and Recruitment,"£1,505"
8001783361,SEVACARE (UK) LTD,Social care,"£1,503"
8001798709,NORTHLEACH COURT,Temporary Accommodation,"£1,503"
1900801664,ADAMS & STYLES,Temporary Accommodation,"£1,502"
5201136837,REDACTED PERSONAL DATA,Legal,"£1,500"
1900801913,SERENE LONDON PROPERTY SERVICES LTD,Temporary Accommodation,"£1,500"
1900801285,JON WILSON T/A SKY PM,"Construction, Property and Fac Man","£1,500"
5201138239,ALLEN LANE LTD,Finance,"£1,500"
5201137918,ALLEN LANE LTD,Finance,"£1,500"
1900800891,REDACTED PERSONAL DATA,Legal,"£1,500"
1900800931,SUPAMUMS SUPPORT SERVICES LIMITED,Learning and Development,"£1,500"
8001801887,BAXENDALE WOODSIDE HOME,Temporary Accommodation,"£1,499"
200343825,CATCH 22 CHARITY LTD,Social care,"£1,498"
8001803602,PRIORY GROUP LIMITED,Temporary Accommodation,"£1,498"
8001785721,DILIGENT CARE SERVICES LTD,Social care,"£1,496"
8001766822,STEP AHEAD SERVICES LTD,"Construction, Property and Fac Man","£1,494"
8001802188,BROWNLOW ENTERPRISES LTD,Temporary Accommodation,"£1,493"
8001782935,W M PROPERTY ASSOCIATES LIMITED,"Construction, Property and Fac Man","£1,488"
8001771492,W M PROPERTY ASSOCIATES LIMITED,Temporary Accommodation,"£1,488"
8001771425,LOUISIANNA PROPERTIES LTD,"Construction, Property and Fac Man","£1,488"
8001785321,STONEWALL HOUSING ASSOCIATION,Social care,"£1,485"
8001785201,STONEWALL HOUSING ASSOCIATION,Social care,"£1,485"
5201136978,COLLEGE OF HAR'GY ENF'LD & NE LONDO,Learning and Development,"£1,485"
1900802144,A24 GROUP LIMITED T/A AMBITION 24 H,People and Recruitment,"£1,484"
5201136620,CYCLEPODS LTD,"Construction, Property and Fac Man","£1,484"
5201136397,REDACTED PERSONAL DATA,Sport and Leisure,"£1,483"
1900800864,DSI BILLING SERVICES,General,"£1,483"
8001773021,CIRCLE OF CARE SERVICE LTD,Social care,"£1,482"
1900800970,RINGWAY JACOBS LIMITED,Public Realm,"£1,481"
8001784081,SEVACARE (UK) LTD,Social care,"£1,481"
8001784101,SEVACARE (UK) LTD,Social care,"£1,481"
5201135819,SECOND SOURCE ( UK ) LTD,IT and Telecoms,"£1,480"
8001766881,ATLANTIC LODGE  LTD,"Construction, Property and Fac Man","£1,479"
8001769501,EXTRA MILE CARE COMPANY,Social care,"£1,479"
5201137547,KENYON BLOCK CONSULTANTS LTD,People and Recruitment,"£1,476"
5201136220,REDACTED PERSONAL DATA,Legal,"£1,475"
5201135888,EDUCATION LONDON LTD,People and Recruitment,"£1,475"
8001803622,PINETRUST RCH,Temporary Accommodation,"£1,474"
8001798754,MULLINVAM LIMITED,Temporary Accommodation,"£1,474"
8001798696,CEDAR GARDENS CARE LTD,Temporary Accommodation,"£1,470"
8001798874,GCH (QUEENSWAY) LTD,Temporary Accommodation,"£1,469"
8001767521,TURKISH CYPRIOT COMMUNITY ASSN.,Social care,"£1,467"
5201136665,EXTRA MILE CARE COMPANY,People and Recruitment,"£1,464"
8001766870,ATLAS PROPERTY LONDON LTD,"Construction, Property and Fac Man","£1,461"
8001766887,ATLAS PROPERTY LONDON LTD,"Construction, Property and Fac Man","£1,461"
1900800512,BARNET ENFIELD+HARINGEY MH TRUST,People and Recruitment,"£1,458"
8001782121,EXTRA MILE CARE COMPANY,Social care,"£1,458"
1900801571,CHRISTOPHER HOUSE (LONDON) LTD,Temporary Accommodation,"£1,457"
1900801573,CHRISTOPHER HOUSE (LONDON) LTD,Temporary Accommodation,"£1,457"
8001771455,GATEWAY LEGAL & PROF SRVS (UK) LTD,Temporary Accommodation,"£1,457"
8001771438,GATEWAY LEGAL & PROF SRVS (UK) LTD,"Construction, Property and Fac Man","£1,457"
1900801563,CHRISTOPHER HOUSE (LONDON) LTD,Temporary Accommodation,"£1,457"
8001771514,W M PROPERTY ASSOCIATES LIMITED,"Construction, Property and Fac Man","£1,457"
1900800997,SECURE DATA MANAGEMENT LTD,General,"£1,457"
5201137073,NETWORK RAIL INFRASTRUCTURE LTD,Public Realm,"£1,456"
8001772901,CIRCLE OF CARE SERVICE LTD,Social care,"£1,456"
8001769181,HAIL LTD,Social care,"£1,455"
8001792478,SEVACARE (UK) LTD,Social care,"£1,455"
8001801886,CHASTON HOUSE LTD,Temporary Accommodation,"£1,454"
8001778941,TURKISH CYPRIOT COMMUNITY ASSN.,Social care,"£1,452"
5201137543,HAYS SPECIALIST RECRUITMENT,People and Recruitment,"£1,450"
5201138089,HAYS SPECIALIST RECRUITMENT,People and Recruitment,"£1,450"
8001798058,REDACTED PERSONAL DATA,Social care,"£1,448"
200343805,HORNSEY HOUSING TRUST,Social care,"£1,447"
8001801901,ASTON GRANGE LTD,Social care,"£1,446"
1900802146,PLEXUS LAW (OFFICE ACCOUNT),Finance,"£1,445"
8001766894,ALERE CARE LIMITED,"Construction, Property and Fac Man","£1,443"
8001766829,ATLAS PROPERTY LONDON LTD,"Construction, Property and Fac Man","£1,441"
8001766855,ATLAS PROPERTY LONDON LTD,"Construction, Property and Fac Man","£1,441"
8001798878,WATERFALL HOUSE LTD t/a SEAFORTH LO,Temporary Accommodation,"£1,441"
5201138230,QA LIMITED,Learning and Development,"£1,440"
8001792558,SEVACARE (UK) LTD,Social care,"£1,440"
8001798230,DIPLOTEC LTD,Temporary Accommodation,"£1,440"
8001801968,DEAN HOUSE,Temporary Accommodation,"£1,437"
8001798695,AGUDAS ISRAEL HOUSING ASSOCIAT LTD,Temporary Accommodation,"£1,437"
1900801586,NORTHUMBERLAND PARK HOUSE,Temporary Accommodation,"£1,435"
8001801986,TORRINGTON HOMES,Temporary Accommodation,"£1,434"
5201138241,ROYAL MAIL GROUP PLC,General,"£1,432"
8001792444,SEVACARE (UK) LTD,Social care,"£1,430"
8001792559,SEVACARE (UK) LTD,Social care,"£1,430"
8001792443,SEVACARE (UK) LTD,Social care,"£1,430"
8001770121,SEVACARE (UK) LTD,Social care,"£1,430"
8001770063,SEVACARE (UK) LTD,Social care,"£1,430"
8001770004,SEVACARE (UK) LTD,Social care,"£1,430"
8001792503,SEVACARE (UK) LTD,Social care,"£1,430"
8001792533,SEVACARE (UK) LTD,Social care,"£1,430"
8001792697,SEVACARE (UK) LTD,Social care,"£1,430"
8001792725,SEVACARE (UK) LTD,Social care,"£1,430"
8001770260,SEVACARE (UK) LTD,Social care,"£1,430"
8001792657,SEVACARE (UK) LTD,Social care,"£1,429"
8001770072,SEVACARE (UK) LTD,Social care,"£1,429"
8001798306,JAH-JIREH CHARITY HOMES,Temporary Accommodation,"£1,427"
5201137224,REDACTED PERSONAL DATA,Sport and Leisure,"£1,427"
8001801922,DRAYCOMBE HOUSE CARE LTD,Temporary Accommodation,"£1,426"
8001782920,TOWER ESTATES (LODGE) LIMITED,Temporary Accommodation,"£1,426"
8001782914,TOWER ESTATES (LODGE) LIMITED,Temporary Accommodation,"£1,426"
8001782926,TOWER ESTATES (LODGE) LIMITED,Temporary Accommodation,"£1,426"
8001771466,GATEWAY LEGAL & PROF SRVS (UK) LTD,"Construction, Property and Fac Man","£1,426"
8001771502,GATEWAY LEGAL & PROF SRVS (UK) LTD,"Construction, Property and Fac Man","£1,426"
8001771499,ATLAS PROPERTY LONDON LTD,"Construction, Property and Fac Man","£1,426"
8001771431,LOUISIANNA PROPERTIES LTD,"Construction, Property and Fac Man","£1,426"
8001771374,LOUISIANNA PROPERTIES LTD,Temporary Accommodation,"£1,426"
8001782930,TOWER ESTATES (LODGE) LIMITED,Temporary Accommodation,"£1,426"
8001771419,GATEWAY LEGAL & PROF SRVS (UK) LTD,"Construction, Property and Fac Man","£1,426"
8001798702,GRACEWELL HEALTHCARE 2 LIMITED,Temporary Accommodation,"£1,425"
8001770219,SEVACARE (UK) LTD,Social care,"£1,425"
8001777441,ONE HOUSING GROUP LTD,Social care,"£1,423"
8001770071,SEVACARE (UK) LTD,Social care,"£1,422"
8001766820,INDEPENDENT PLUS LTD,"Construction, Property and Fac Man","£1,419"
200343798,ASRA HOUSING ASSOCIATION LTD,Social care,"£1,416"
8001792457,SEVACARE (UK) LTD,Social care,"£1,416"
8001770003,SEVACARE (UK) LTD,Social care,"£1,414"
1900801976,PSYSERVICES LIMITED,Legal,"£1,414"
8001792199,FOCUS ON FOSTERING LTD,Children and Education,"£1,411"
1900801572,CHRISTOPHER HOUSE (LONDON) LTD,Temporary Accommodation,"£1,410"
8001803503,FOUR SEASONS 2000 LIMITED,Temporary Accommodation,"£1,409"
5201136619,F.P. EXECUTIVE AGENCY LTD,General,"£1,408"
200343841,HAIL LTD,Social care,"£1,406"
8001772521,CIRCLE OF CARE SERVICE LTD,Social care,"£1,404"
8001798912,RUNWOOD HOMES LTD,Temporary Accommodation,"£1,400"
5201136207,EDUCATION LONDON LTD,People and Recruitment,"£1,400"
8001785881,DILIGENT CARE SERVICES LTD,Temporary Accommodation,"£1,400"
8001774961,ASHNESS CARE LTD,Temporary Accommodation,"£1,400"
8001785421,DILIGENT CARE SERVICES LTD,Social care,"£1,400"
8001792261,MSASA CARE LTD,Temporary Accommodation,"£1,400"
5201137077,TRUSTED TERMINAL LIMITED,IT and Telecoms,"£1,400"
8001792241,MSASA CARE LTD,Temporary Accommodation,"£1,400"
8001774941,ASHNESS CARE LTD,Temporary Accommodation,"£1,400"
8001792704,SEVACARE (UK) LTD,Social care,"£1,399"
8001777801,TURKISH CYPRIOT COMMUNITY ASSN.,Social care,"£1,396"
8001771488,ESTATE141 LIMITED,Temporary Accommodation,"£1,395"
8001771402,LOUISIANNA PROPERTIES LTD,"Construction, Property and Fac Man","£1,395"
8001771485,ATLAS PROPERTY LONDON LTD,Temporary Accommodation,"£1,395"
1900801295,HOMELINK LETTINGS & ESTATES LTD,Temporary Accommodation,"£1,395"
8001779541,EXTRA MILE CARE COMPANY,Social care,"£1,394"
8001768581,HAIL LTD,Social care,"£1,392"
8001766768,PHOENIX COMMUNITY CARE LTD,"Construction, Property and Fac Man","£1,392"
8001766835,ATLANTIC LODGE  LTD,"Construction, Property and Fac Man","£1,390"
8001766905,ATLANTIC LODGE  LTD,"Construction, Property and Fac Man","£1,390"
8001774301,INDIVIDUALISED CARE LTD,Social care,"£1,389"
5201135788,ILSE AMLOT CENTRE FOR WOMEN & CHILD,Children and Education,"£1,388"
5201136133,FRONTLINE STAFFING LTD,People and Recruitment,"£1,387"
8001798585,GRACE EYRE FOUNDATION,Social care,"£1,386"
8001798668,BUPA CARE HOMES (CFCHOMES) LTD,Temporary Accommodation,"£1,386"
1900801612,THE PLACEMENT GROUP (UK) LTD,People and Recruitment,"£1,383"
1900802653,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£1,383"
8001779881,EXTRA MILE CARE COMPANY,Social care,"£1,382"
8001786881,DILIGENT CARE SERVICES LTD,Social care,"£1,380"
8001766775,PHOENIX COMMUNITY CARE LTD,"Construction, Property and Fac Man","£1,379"
8001766871,PHOENIX COMMUNITY CARE LTD,"Construction, Property and Fac Man","£1,379"
8001766763,PHOENIX COMMUNITY CARE LTD,"Construction, Property and Fac Man","£1,379"
8001766862,PHOENIX COMMUNITY CARE LTD,"Construction, Property and Fac Man","£1,379"
8001798854,VENETIA RESIDENTIAL CARE HOME,Temporary Accommodation,"£1,379"
1900801434,BRETSA LTD,People and Recruitment,"£1,369"
1900801989,STACE LLP,"Construction, Property and Fac Man","£1,368"
8001772061,CIRCLE OF CARE SERVICE LTD,Social care,"£1,365"
8001771470,LOUISIANNA PROPERTIES LTD,Temporary Accommodation,"£1,364"
8001771522,ATLAS PROPERTY LONDON LTD,Temporary Accommodation,"£1,364"
8001771516,LOUISIANNA PROPERTIES LTD,Temporary Accommodation,"£1,364"
8001771471,LOUISIANNA PROPERTIES LTD,"Construction, Property and Fac Man","£1,364"
8001771523,ATLAS PROPERTY LONDON LTD,Temporary Accommodation,"£1,364"
8001771525,ATLAS PROPERTY LONDON LTD,Temporary Accommodation,"£1,364"
8001771547,ATLAS PROPERTY LONDON LTD,Temporary Accommodation,"£1,364"
8001771450,ATLAS PROPERTY LONDON LTD,Temporary Accommodation,"£1,364"
8001767141,HEADWAY EAST LONDON,Transport & Travel,"£1,360"
1900800987,NORTHUMBERLAND PARK HOUSE,Temporary Accommodation,"£1,360"
200343819,PHOENIX COMMUNITY CARE LTD,Social care,"£1,360"
1900801421,ANNA HOUSE LTD,Children and Education,"£1,358"
1900801422,ANNA HOUSE LTD,Children and Education,"£1,358"
1900801515,DOCUMENT TECHNOLOGY LIMITED,Communication,"£1,357"
8001784341,SEVACARE (UK) LTD,Social care,"£1,356"
8001798679,BUPA CARE HOMES (CFHCARE) LTD,Temporary Accommodation,"£1,352"
5201138041,ELEGANCE FURNITURE SUPPLIES LTD,General,"£1,351"
200343803,HORNSEY HOUSING TRUST,Social care,"£1,350"
5201137498,REDACTED PERSONAL DATA,Legal,"£1,350"
1900800762,THE PLACEMENT GROUP (UK) LTD,Social care,"£1,350"
8001767201,EXTRA MILE CARE COMPANY,Social care,"£1,347"
5201135847,OXFORD COMPUTER CONSULTANTS LTD,IT and Telecoms,"£1,345"
5201138051,OXFORD COMPUTER CONSULTANTS LTD,IT and Telecoms,"£1,345"
5201137204,REDACTED PERSONAL DATA,Learning and Development,"£1,345"
8001784381,CORE OUTREACH & CARE SERVICES UK LT,Social care,"£1,344"
8001798690,FIVE ACRES NURSING HOME LTD,Temporary Accommodation,"£1,343"
8001798877,JEWISH CARE,Temporary Accommodation,"£1,343"
5201136749,COLLAGE ARTS,Sport and Leisure,"£1,342"
8001791721,LYNCADE LTD t/a CAVENDISH CARS,Transport & Travel,"£1,338"
8001771101,SWEETTREE HOMECARE SERVICES LTD,Social care,"£1,338"
5201136634,SWALLOWMAX LTD,Communication,"£1,337"
8001771411,GATEWAY LEGAL & PROF SRVS (UK) LTD,"Construction, Property and Fac Man","£1,333"
8001771373,W M PROPERTY ASSOCIATES LIMITED,"Construction, Property and Fac Man","£1,333"
8001771397,GATEWAY LEGAL & PROF SRVS (UK) LTD,"Construction, Property and Fac Man","£1,333"
8001771401,LOUISIANNA PROPERTIES LTD,"Construction, Property and Fac Man","£1,333"
8001771420,LOUISIANNA PROPERTIES LTD,"Construction, Property and Fac Man","£1,333"
8001766761,PHOENIX COMMUNITY CARE LTD,"Construction, Property and Fac Man","£1,331"
8001781481,PREMIER CAREWAITING LTD,Social care,"£1,328"
8001781421,PREMIER CAREWAITING LTD,Social care,"£1,328"
8001781441,PREMIER CAREWAITING LTD,Social care,"£1,328"
8001781501,PREMIER CAREWAITING LTD,Social care,"£1,328"
8001781461,PREMIER CAREWAITING LTD,Social care,"£1,328"
5201136377,BERTRAM TRADING LTD,Communication,"£1,324"
5201136615,PLM OFFICE SOLUTION,General,"£1,320"
8001798856,WATERFALL HOUSE LTD,Temporary Accommodation,"£1,318"
8001798846,VENETIA RESIDENTIAL CARE HOME,Temporary Accommodation,"£1,317"
8001792708,SEVACARE (UK) LTD,Social care,"£1,317"
8001802163,AVON LODGE UK LTD,Temporary Accommodation,"£1,309"
8001766774,OAK TREE CARE SERVICES LIMITED,"Construction, Property and Fac Man","£1,306"
8001771387,LOUISIANNA PROPERTIES LTD,"Construction, Property and Fac Man","£1,302"
8001772801,CIRCLE OF CARE SERVICE LTD,Social care,"£1,302"
8001771390,LOUISIANNA PROPERTIES LTD,"Construction, Property and Fac Man","£1,302"
8001771391,LOUISIANNA PROPERTIES LTD,"Construction, Property and Fac Man","£1,302"
8001782912,TOWER ESTATES (LODGE) LIMITED,Temporary Accommodation,"£1,302"
5201137042,ATKINS LTD,People and Recruitment,"£1,300"
1900801588,HOMES FOR HARINGEY LIMITED,"Construction, Property and Fac Man","£1,300"
8001777461,ONE HOUSING GROUP LTD,Social care,"£1,299"
8001798708,BUPA CARE HOMES (AKW) LIMITED,Temporary Accommodation,"£1,295"
8001780481,EXTRA MILE CARE COMPANY,Social care,"£1,295"
1900800871,AGILISYS PROFESSIONAL SERVICES,People and Recruitment,"£1,295"
8001771021,THE PROPERTY COMPANY LONDON LTD,Temporary Accommodation,"£1,293"
200343839,METROPOLITAN SUPPORT TRUST,Social care,"£1,287"
8001798577,REDACTED PERSONAL DATA,Social care,"£1,284"
8001782761,SATELLITE CONSORTIUM LIMITED,Social care,"£1,283"
8001778921,TURKISH CYPRIOT COMMUNITY ASSN.,Social care,"£1,281"
8001775721,OPTIMAL CARE SERVICES LTD,Social care,"£1,280"
8001777101,DEVELOPMENT & LEARNING OPPORTUNITIE,Social care,"£1,279"
8001777081,DEVELOPMENT & LEARNING OPPORTUNITIE,Social care,"£1,279"
8001790521,DEVELOPMENT & LEARNING OPPORTUNITIE,Social care,"£1,279"
1900801320,BRANTWOOD HOUSE,Temporary Accommodation,"£1,277"
