Transaction  No.,Vendor Name,Category,Amount
8001541933,SEVACARE (UK) LTD,Social care,"£1,859"
8001541937,SEVACARE (UK) LTD,Social care,"£1,859"
8001541941,SEVACARE (UK) LTD,Social care,"£1,859"
8001541960,SEVACARE (UK) LTD,Social care,"£1,859"
8001541961,SEVACARE (UK) LTD,Social care,"£1,859"
8001541969,SEVACARE (UK) LTD,Social care,"£1,859"
8001542003,SEVACARE (UK) LTD,Social care,"£1,859"
8001542058,SEVACARE (UK) LTD,Social care,"£1,859"
8001542067,SEVACARE (UK) LTD,Social care,"£1,859"
8001542080,SEVACARE (UK) LTD,Social care,"£1,859"
8001542258,SEVACARE (UK) LTD,Social care,"£1,859"
8001542300,SEVACARE (UK) LTD,Social care,"£1,859"
8001544584,REDACTED PERSONAL DATA,Temporary Accommodation,"£1,854"
8001542561,TURKISH CYPRIOT COMMUNITY ASSN.,Social care,"£1,853"
1900788894,REDACTED PERSONAL DATA,Legal,"£1,850"
8001547035,FOUR SEASONS 2000 LIMITED,Temporary Accommodation,"£1,850"
8001541953,SEVACARE (UK) LTD,Social care,"£1,848"
5201118814,CRITICAL PROJECT RESOURCING LTD,People and Recruitment,"£1,844"
200337473,MARCUS & MARCUS LTD,Social care,"£1,844"
8001545252,ST ALEX LTD,Temporary Accommodation,"£1,840"
8001542118,SEVACARE (UK) LTD,Social care,"£1,838"
5201118424,HARINGEY POLICE & COMMUNITY ABC,Sport and Leisure,"£1,836"
200337452,HORNSEY HOUSING TRUST,Social care,"£1,833"
8001561463,THE REGARD PARTNERSHIP LIMITED,Social care,"£1,832"
8001547333,B&M INVESTMENTS LIMITED,Temporary Accommodation,"£1,831"
1900789867,NORTH LONDON ASIAN CARE,General,"£1,830"
1900790127,NORTH LONDON ASIAN CARE,General,"£1,830"
1900790128,NORTH LONDON ASIAN CARE,General,"£1,830"
8001544830,DR FRENCH MEMORIAL HOME LTD,Temporary Accommodation,"£1,827"
8001547066,HOMELY CARE LTD T/A ST THERESA'S RE,Temporary Accommodation,"£1,827"
1900790476,FIRST CAPITAL CONNECT LTD,Travel,"£1,824"
8001557442,PREMIER CAREWAITING LTD,Social care,"£1,824"
1900790248,BINOH,Children and Education,"£1,820"
5201118357,BINOH,Children and Education,"£1,820"
5201118794,CYCLE TRAINING UK LTD,Learning and Development,"£1,820"
1900789099,WOODROW MERCER LLP,People and Recruitment,"£1,820"
8001550963,RENAISSANCE PERSONNEL LIMITED,Social care,"£1,817"
8001560381,RENAISSANCE PERSONNEL LIMITED,Social care,"£1,817"
8001545404,RENAISSANCE PERSONNEL LIMITED,Social care,"£1,817"
8001550501,RENAISSANCE PERSONNEL LIMITED,Social care,"£1,817"
8001550521,RENAISSANCE PERSONNEL LIMITED,Social care,"£1,817"
8001550541,RENAISSANCE PERSONNEL LIMITED,Social care,"£1,817"
5201118561,REDACTED PERSONAL DATA,Learning and Development,"£1,812"
8001561009,LONDON CARE PLC,Social care,"£1,810"
8001542085,SEVACARE (UK) LTD,Social care,"£1,807"
8001561582,SUPERIOR CARE LTD,Temporary Accommodation,"£1,802"
8001545584,OAK TREE CARE SERVICES LIMITED,Temporary Accommodation,"£1,800"
8001561561,OAK TREE CARE SERVICES LIMITED,Temporary Accommodation,"£1,800"
1900790064,EXTRA MILE CARE COMPANY,General,"£1,800"
5201119100,NORTHGATE INFORMATION SOLUTIONS UK,IT and Telecoms,"£1,800"
8001516241,DILIGENT CARE SERVICES LTD,Temporary Accommodation,"£1,800"
8001545622,DEVELOPMENT & LEARNING OPPORTUNITIE,Social care,"£1,800"
8001545685,DEVELOPMENT & LEARNING OPPORTUNITIE,"Construction, Property and Fac Man","£1,800"
8001554501,DEVELOPMENT & LEARNING OPPORTUNITIE,Social care,"£1,800"
8001554523,DEVELOPMENT & LEARNING OPPORTUNITIE,"Construction, Property and Fac Man","£1,800"
8001555264,DILIGENT CARE SERVICES LTD,Social care,"£1,800"
8001555306,DILIGENT CARE SERVICES LTD,Temporary Accommodation,"£1,800"
5201118427,ROYAL MAIL GROUP PLC,General,"£1,791"
8001542207,SEVACARE (UK) LTD,Social care,"£1,787"
8001545159,VENETIA RESIDENTIAL CARE HOME,Temporary Accommodation,"£1,786"
5201118559,1ST CONTAINERS (UK) LIMITED,"Construction, Property and Fac Man","£1,783"
5201118763,1ST CONTAINERS (UK) LIMITED,"Construction, Property and Fac Man","£1,783"
8001544816,WOODSIDE HOME,Temporary Accommodation,"£1,782"
5201120060,JOINT ASSOC OF NISSA TRUST (J A N T,Learning and Development,"£1,782"
8001561585,SUPERIOR CARE LTD,Temporary Accommodation,"£1,781"
8001545178,WATERFALL HOUSE LTD,Temporary Accommodation,"£1,780"
5201120152,ROYAL MAIL GROUP PLC,General,"£1,778"
8001546721,HOFFMANN FOUNDATION FOR AUTISM,Social care,"£1,777"
8001546722,HOFFMANN FOUNDATION FOR AUTISM,Social care,"£1,777"
8001546745,HOFFMANN FOUNDATION FOR AUTISM,"Construction, Property and Fac Man","£1,775"
5201119878,XEROX (UK) LTD,IT and Telecoms,"£1,775"
5201119359,AIRWAVE SOLUTIONS LTD,IT and Telecoms,"£1,774"
8001526341,EXTRA MILE CARE COMPANY,Social care,"£1,773"
5201118567,AUDITEL RENTAL & SERVICE LTD,"Construction, Property and Fac Man","£1,769"
8001544579,CAMDEN LODGE,Temporary Accommodation,"£1,769"
1900789725,BT PAYMENT SERVICES LTD,IT and Telecoms,"£1,768"
8001546242,NEXT STEP CARE MANAGEMENT LTD,"Construction, Property and Fac Man","£1,761"
8001558982,NTEC SUPPORT SERVICES LTD,Social care,"£1,760"
5201119065,LOTUS MANAGEMENT CONSULTANCY LTD,Learning and Development,"£1,758"
8001542262,SEVACARE (UK) LTD,Social care,"£1,757"
8001546000,KARLAMAIN LTD,Temporary Accommodation,"£1,752"
5201119867,CIPFA,Communication,"£1,750"
8001544401,DEVELOPMENT & LEARNING OPPORTUNITIE,Social care,"£1,750"
8001545662,DEVELOPMENT & LEARNING OPPORTUNITIE,Social care,"£1,750"
8001545663,DEVELOPMENT & LEARNING OPPORTUNITIE,Social care,"£1,750"
8001545684,DEVELOPMENT & LEARNING OPPORTUNITIE,Social care,"£1,750"
8001554489,DEVELOPMENT & LEARNING OPPORTUNITIE,Social care,"£1,750"
8001559543,DEVELOPMENT & LEARNING OPPORTUNITIE,Social care,"£1,750"
8001559563,DEVELOPMENT & LEARNING OPPORTUNITIE,Social care,"£1,750"
8001550041,NORTH LONDON ASIAN CARE,Social care,"£1,749"
8001562424,NORTH LONDON ASIAN CARE,Social care,"£1,745"
8001556481,ATLANTIC LODGE  LTD,"Construction, Property and Fac Man","£1,745"
200337445,HABINTEG HOUSING ASSOCIATION,Social care,"£1,743"
1900789869,NPS LONDON LTD,"Construction, Property and Fac Man","£1,742"
8001546094,KINGSLEY HEALTHCARE,Temporary Accommodation,"£1,738"
8001546020,THE GRANGE,Temporary Accommodation,"£1,736"
8001541988,SEVACARE (UK) LTD,Social care,"£1,735"
8001547003,FOUR SEASONS 2000 LIMITED,Temporary Accommodation,"£1,734"
8001561058,LONDON CARE PLC,Social care,"£1,733"
5201119481,BERTRAM TRADING LTD,Communication,"£1,732"
8001545175,THE TUDORS RESIDENTIAL CARE HOME,Temporary Accommodation,"£1,730"
1900790015,GORKANA GROUP LIMITED,Learning and Development,"£1,730"
8001546969,ANCHOR TRUST,Temporary Accommodation,"£1,729"
8001546131,LITTLE SISTERS OF THE POOR,Temporary Accommodation,"£1,729"
1900790527,CLASS ESTATES LIMITED,Temporary Accommodation,"£1,729"
8001556242,NTEC SUPPORT SERVICES LTD,Temporary Accommodation,"£1,729"
8001561146,LONDON CARE PLC,Social care,"£1,726"
8001542801,TURKISH CYPRIOT COMMUNITY ASSN.,Social care,"£1,726"
8001546042,THE LIMES RESIDENTIAL CARE HOME,Temporary Accommodation,"£1,721"
8001558502,SILVER BIRCH CARE LTD,"Construction, Property and Fac Man","£1,720"
8001546021,IGNICOLL t/a THE LODGE,Temporary Accommodation,"£1,719"
1900789101,WOODROW MERCER LLP,People and Recruitment,"£1,717"
5201119624,NPS LONDON LTD,"Construction, Property and Fac Man","£1,715"
8001542861,NTEC SUPPORT SERVICES LTD,Temporary Accommodation,"£1,714"
8001546149,MAGICARE LTD,Social care,"£1,714"
8001541983,SEVACARE (UK) LTD,Social care,"£1,708"
8001536502,ST MUNGOS HOUSING ASSOCIATION,Temporary Accommodation,"£1,706"
8001546018,HOMEFIELD COURT,Temporary Accommodation,"£1,706"
8001542630,TOWER ESTATES (LODGE) LIMITED,"Construction, Property and Fac Man","£1,705"
1900789756,REDACTED PERSONAL DATA,General,"£1,700"
1900789939,TERSUS CONSULTANCY LTD,"Construction, Property and Fac Man","£1,700"
1900790354,FIRST KICKS SPORTS LIMITED,Children and Education,"£1,700"
5201119098,ESTEEM SYSTEMS LTD,People and Recruitment,"£1,700"
8001547093,SPRINGDENE NURSING & CARE HOMES LTD,Social care,"£1,700"
1900790001,REDACTED PERSONAL DATA,Legal,"£1,696"
8001545943,MELROSE HOUSE,Temporary Accommodation,"£1,695"
8001545170,VENETIA RESIDENTIAL CARE HOME,Temporary Accommodation,"£1,693"
8001559141,EXTRA MILE CARE COMPANY,Social care,"£1,692"
8001546502,VINEYARD (UK) SERVICES LTD,Social care,"£1,692"
8001555162,DILIGENT CARE SERVICES LTD,Social care,"£1,690"
8001544380,TWINGLOBE CARE HOMES LTD,Temporary Accommodation,"£1,688"
8001551181,FOCUS CARELINK LTD,Social care,"£1,687"
8001556156,ATLAS PROPERTY LONDON LTD,"Construction, Property and Fac Man","£1,685"
8001546003,THE LIMES RESIDENTIAL CARE HOME,Temporary Accommodation,"£1,685"
8001548761,EXTRA MILE CARE COMPANY,Social care,"£1,683"
8001561701,EXTRA MILE CARE COMPANY,Social care,"£1,683"
1900789042,REDACTED PERSONAL DATA,Communication,"£1,677"
8001545229,ST MUNGOS COMMUNITY HOUSING ASSOCIA,Temporary Accommodation,"£1,676"
1900789761,VEOLIA ES (UK) LTD,Public Realm,"£1,674"
5201119767,ASKEWS & HOLTS LIBRARY SERVICES LTD,Communication,"£1,671"
8001556128,ATLAS PROPERTY LONDON LTD,"Construction, Property and Fac Man","£1,670"
8001556046,CARE ADMIN & MANAGEMENT SERVICE LTD,Children and Education,"£1,669"
1900789864,SURECARE (ENFIELD) LIMITED,General,"£1,663"
5201118067,TNT POST LONDON LTD,General,"£1,663"
5201119072,THAMES WATER UTILITIES LTD,Energy and Utilities,"£1,663"
8001544568,WOODSIDE HOME,Temporary Accommodation,"£1,659"
8001560601,PREMIER CAREWAITING LTD,Social care,"£1,659"
8001545235,REDACTED PERSONAL DATA,Temporary Accommodation,"£1,657"
5201119752,ASKEWS & HOLTS LIBRARY SERVICES LTD,Communication,"£1,652"
1900790276,BINOH,Children and Education,"£1,650"
1900790281,BINOH,Children and Education,"£1,650"
5201118173,RUBUS SERVICES LTD,People and Recruitment,"£1,650"
5201118458,BINOH,Children and Education,"£1,650"
5201118461,BINOH,Children and Education,"£1,650"
8001556135,ATLAS PROPERTY LONDON LTD,"Construction, Property and Fac Man","£1,650"
8001556151,ATLAS PROPERTY LONDON LTD,"Construction, Property and Fac Man","£1,650"
1900789422,WOODROW MERCER LLP,People and Recruitment,"£1,648"
200337459,DIMENSIONS (UK) LIMITED,Social care,"£1,647"
8001545950,MELROSE HOUSE,Temporary Accommodation,"£1,643"
8001545954,MELROSE HOUSE,Temporary Accommodation,"£1,643"
8001545968,MELROSE HOUSE,Temporary Accommodation,"£1,643"
8001547027,PRIORY GROUP LIMITED,Temporary Accommodation,"£1,640"
8001547047,PINETRUST RCH,Temporary Accommodation,"£1,632"
1900789994,CLIFFORD DEVLIN LTD,"Construction, Property and Fac Man","£1,630"
8001545189,GCH (QUEENSWAY) LTD,Temporary Accommodation,"£1,627"
1900789837,REDACTED PERSONAL DATA,Legal,"£1,620"
8001553801,SOMEWHERE HOUSE LTD,Social care,"£1,620"
8001554181,EXTRA MILE CARE COMPANY,Social care,"£1,619"
5201119451,THAMES WATER UTILITIES LTD,Energy and Utilities,"£1,617"
5201119192,MYERS (IDEAL SUPPLIES) LTD,General,"£1,615"
8001556104,SILVER BIRCH CARE LTD,"Construction, Property and Fac Man","£1,613"
8001551423,WOODHOUSE ESTATES LTD,Temporary Accommodation,"£1,612"
8001542586,WEST LODGE LIMITED,Temporary Accommodation,"£1,612"
8001542587,ATLAS PROPERTY LONDON LTD,Temporary Accommodation,"£1,612"
8001542731,ATLAS PROPERTY LONDON LTD,Temporary Accommodation,"£1,612"
8001558522,SILVER BIRCH CARE LTD,"Construction, Property and Fac Man","£1,612"
8001544567,CHASTON HOUSE LTD,Temporary Accommodation,"£1,610"
8001545244,YOUR CHOICE (BARNET) LTD,Social care,"£1,609"
8001545193,WATERFALL HOUSE LTD t/a SEAFORTH LO,Temporary Accommodation,"£1,609"
8001542301,SEVACARE (UK) LTD,Social care,"£1,601"
5201119079,CIPFA BUSINESS LIMITED,Learning and Development,"£1,600"
5201119573,CIPFA BUSINESS LIMITED,Learning and Development,"£1,600"
8001545703,DEVELOPMENT & LEARNING OPPORTUNITIE,Social care,"£1,600"
8001554524,DEVELOPMENT & LEARNING OPPORTUNITIE,Social care,"£1,600"
8001448333,VITALISE,Social care,"£1,598"
200337478,CYPRIOT COMMUNITY CENTRE,Social care,"£1,595"
8001545982,DIPLOTEC LTD,Temporary Accommodation,"£1,594"
8001544644,DEAN HOUSE,Temporary Accommodation,"£1,591"
8001544666,TORRINGTON HOMES,Temporary Accommodation,"£1,588"
1900789048,JOHN ROWAN AND PARTNERS LLP,"Construction, Property and Fac Man","£1,587"
1900790513,HAMELIN TRUST,Children and Education,"£1,586"
8001557381,SATELLITE CONSORTIUM LIMITED,Social care,"£1,585"
1900790363,REDACTED PERSONAL DATA,General,"£1,583"
5201119461,RIGBY TAYLOR LTD,Public Realm,"£1,582"
8001547336,JAH-JIREH CHARITY HOMES,Temporary Accommodation,"£1,580"
1900788837,PLEXUS LAW (OFFICE ACCOUNT),Finance,"£1,580"
8001544593,DRAYCOMBE HOUSE CARE LTD,Temporary Accommodation,"£1,579"
8001546950,STIRLING PARK RESIDENTIAL HOME,Temporary Accommodation,"£1,577"
8001556136,LODGE GROUP CARE UK LTD,"Construction, Property and Fac Man","£1,577"
8001542238,SEVACARE (UK) LTD,Social care,"£1,572"
8001556121,INDEPENDENT PLUS LTD,"Construction, Property and Fac Man","£1,572"
8001561511,FINEFAIR LTD,"Construction, Property and Fac Man","£1,572"
8001545245,VENTRY RESIDENTIAL CARE LTD,Social care,"£1,571"
8001555604,SAPH LTD,Social care,"£1,567"
5201119459,RIGBY TAYLOR LTD,Public Realm,"£1,565"
5201119460,RIGBY TAYLOR LTD,Public Realm,"£1,563"
5201120233,FRONTLINE STAFFING LTD,People and Recruitment,"£1,560"
5201120234,FRONTLINE STAFFING LTD,People and Recruitment,"£1,560"
5201120433,FRONTLINE STAFFING LTD,People and Recruitment,"£1,560"
5201118154,STHREE STAFFING UK LTD,People and Recruitment,"£1,560"
8001555081,PARENTS & CHILDREN TOGETHER,Children and Education,"£1,560"
8001550982,CHRISTOPHER HOUSE (LONDON) LTD,"Construction, Property and Fac Man","£1,560"
8001542276,SEVACARE (UK) LTD,Social care,"£1,552"
1900789692,BARNET ENFIELD+HAR M H NHS TRUST,People and Recruitment,"£1,550"
5201119458,RIGBY TAYLOR LTD,Public Realm,"£1,546"
1900788817,ST LUCY LODGE,General,"£1,546"
1900790483,THE PRUDENTIAL ASSURANCE CO LTD,General,"£1,545"
8001550301,NORTH LONDON ASIAN CARE,Social care,"£1,544"
8001545154,ROSS WYLD CARE HOME,Social care,"£1,543"
8001556139,PHOENIX COMMUNITY CARE LTD,"Construction, Property and Fac Man","£1,534"
8001556117,PHOENIX COMMUNITY CARE LTD,"Construction, Property and Fac Man","£1,534"
8001526447,EXTRA MILE CARE COMPANY,Social care,"£1,533"
8001541947,SEVACARE (UK) LTD,Social care,"£1,531"
1900789764,HIREMECH LIMITED,Learning and Development,"£1,530"
8001556022,BY THE BRIDGE,Children and Education,"£1,529"
8001562021,ATLANTIC LODGE  LTD,"Construction, Property and Fac Man","£1,528"
8001556143,OAK TREE CARE SERVICES LIMITED,"Construction, Property and Fac Man","£1,528"
8001561261,DRS CARE HOMES LTD,Temporary Accommodation,"£1,528"
8001562041,DRS CARE HOMES LTD,Temporary Accommodation,"£1,528"
8001545167,VENETIA RESIDENTIAL CARE HOME,Temporary Accommodation,"£1,526"
8001529481,FINEFAIR LTD,"Construction, Property and Fac Man","£1,521"
8001526422,EXTRA MILE CARE COMPANY,Social care,"£1,521"
1900789069,NORTHUMBERLAND PARK HOUSE,Temporary Accommodation,"£1,520"
8001542720,GATEWAY LEGAL & PROF SRVS (UK) LTD,"Construction, Property and Fac Man","£1,519"
8001556150,XCHANGE PROPERTY SERVICES LTD,"Construction, Property and Fac Man","£1,516"
8001561882,EXTRA MILE CARE COMPANY,Social care,"£1,515"
1900790402,THE CO-OPERATIVE FUNERALCARE,General,"£1,512"
8001545250,ST ALEX LTD,Social care,"£1,512"
8001561728,EXTRA MILE CARE COMPANY,Social care,"£1,512"
8001556402,ATLANTIC LODGE  LTD,"Construction, Property and Fac Man","£1,509"
8001551482,ATLANTIC LODGE  LTD,"Construction, Property and Fac Man","£1,509"
8001547722,EXTRA MILE CARE COMPANY,Social care,"£1,509"
8001548121,EXTRA MILE CARE COMPANY,Social care,"£1,509"
8001526066,VITALISE,Social care,"£1,502"
8001554163,EXTRA MILE CARE COMPANY,Social care,"£1,502"
1900789226,REDACTED PERSONAL DATA,Legal,"£1,500"
1900790156,RIMA DESIGN LTD,Communication,"£1,500"
1900790360,HIGHWAY YOUTH CLUB,Children and Education,"£1,500"
1900790369,ROSPA ENTERPRISES LTD,Learning and Development,"£1,500"
1900790392,THEE INSTRUCTOR DRIVING SCHOOL,Children and Education,"£1,500"
5201117906,REDACTED PERSONAL DATA,Legal,"£1,500"
5201117980,ALLEN LANE LTD,Finance,"£1,500"
5201117982,ALLEN LANE LTD,Finance,"£1,500"
5201117983,ALLEN LANE LTD,Finance,"£1,500"
5201119368,ROAD SAFETY GB,Communication,"£1,500"
5201119369,ALLEN LANE LTD,Finance,"£1,500"
5201119446,SOUTHERN LANDSCAPE AND CONSTRUCTION,"Construction, Property and Fac Man","£1,500"
5201119965,ALLEN LANE LTD,Finance,"£1,500"
5201120223,ALLEN LANE LTD,Finance,"£1,500"
5201120225,NDOTM LIMITED T/A NEW DEAL OF THE M,General,"£1,500"
8001555848,NEXT STEP FOSTERING SERVICES LTD,Children and Education,"£1,500"
200337476,RPS RAINER NORTH LONDON HOUSING,Social care,"£1,498"
5201118765,CRITICAL PROJECT RESOURCING LTD,People and Recruitment,"£1,498"
5201119354,BAAF REGISTERED CHARITY,Communication,"£1,497"
8001555382,DILIGENT CARE SERVICES LTD,Social care,"£1,496"
1900788818,ST LUCY LODGE,General,"£1,496"
5201118806,CITY SUBURBAN TREE SURGEONS LTD,Public Realm,"£1,495"
8001556127,STEP AHEAD SERVICES LTD,"Construction, Property and Fac Man","£1,494"
1900788785,NOW MEDICAL,General,"£1,493"
1900790280,BINOH,Children and Education,"£1,490"
5201118460,BINOH,Children and Education,"£1,490"
8001542666,LOUISIANNA PROPERTIES LTD,"Construction, Property and Fac Man","£1,488"
8001545192,JEWISH CARE,Temporary Accommodation,"£1,487"
8001551982,BROADREACH HOUSE,Social care,"£1,486"
1900789724,ALISON WRIGHT & CO LTD,People and Recruitment,"£1,486"
8001551082,GREEK+GREEK CYPRIOT COMM OF ENFIELD,Social care,"£1,481"
1900789435,G W TWILLEY & SON LTD,Travel,"£1,476"
5201119829,XEROX (UK) LTD,IT and Telecoms,"£1,475"
1900788803,REDACTED PERSONAL DATA,Legal,"£1,475"
5201120168,ADVANCED VISION SURVEILLANCE,"Construction, Property and Fac Man","£1,475"
5201119730,REDACTED PERSONAL DATA,Temporary Accommodation,"£1,473"
5201118199,PWP FS PRINT AND DESIGN,Communication,"£1,473"
1900790295,PREMIER CAREWAITING LTD,General,"£1,465"
1900790126,NORTH LONDON ASIAN CARE,General,"£1,464"
1900790130,NORTH LONDON ASIAN CARE,General,"£1,464"
1900790131,NORTH LONDON ASIAN CARE,General,"£1,464"
1900790135,NORTH LONDON ASIAN CARE,General,"£1,464"
5201119734,NPS LONDON LTD,"Construction, Property and Fac Man","£1,460"
8001545169,WATERFALL HOUSE LTD,Temporary Accommodation,"£1,459"
8001545157,VENETIA RESIDENTIAL CARE HOME,Temporary Accommodation,"£1,458"
5201119254,A.C.PREOU LIMITED,"Construction, Property and Fac Man","£1,458"
8001542687,GATEWAY LEGAL & PROF SRVS (UK) LTD,"Construction, Property and Fac Man","£1,457"
8001542708,GATEWAY LEGAL & PROF SRVS (UK) LTD,Temporary Accommodation,"£1,457"
8001554303,CIRCLE OF CARE SERVICE LTD,Social care,"£1,456"
8001545171,WIMBORNE HOUSE LIMITED,Temporary Accommodation,"£1,453"
5201119361,AIRWAVE SOLUTIONS LTD,IT and Telecoms,"£1,452"
8001558821,EXTRA MILE CARE COMPANY,Social care,"£1,449"
8001555588,SAPH LTD,Social care,"£1,448"
8001547721,EXTRA MILE CARE COMPANY,Social care,"£1,448"
8001559886,EXTRA MILE CARE COMPANY,Social care,"£1,443"
8001556094,PHOENIX COMMUNITY CARE LTD,"Construction, Property and Fac Man","£1,442"
8001556096,PHOENIX COMMUNITY CARE LTD,"Construction, Property and Fac Man","£1,442"
8001556098,PHOENIX COMMUNITY CARE LTD,"Construction, Property and Fac Man","£1,442"
8001556133,ATLAS PROPERTY LONDON LTD,"Construction, Property and Fac Man","£1,441"
5201118435,ALPHAPRINT (COLCHESTER) LIMITED,Communication,"£1,441"
8001555724,PERSON CENTRED CARE HOMES DAY OPPS,Social care,"£1,440"
8001560702,LONDON CARE PLC,Social care,"£1,440"
8001560783,LONDON CARE PLC,Social care,"£1,440"
5201119251,KEVIN HARRINGTON ASSOCIATES LTD,People and Recruitment,"£1,438"
5201119622,NPS LONDON LTD,"Construction, Property and Fac Man","£1,436"
8001546033,B&M INVESTMENTS LIMITED,Temporary Accommodation,"£1,433"
8001541972,SEVACARE (UK) LTD,Social care,"£1,430"
8001542044,SEVACARE (UK) LTD,Social care,"£1,430"
8001542112,SEVACARE (UK) LTD,Social care,"£1,430"
8001542182,SEVACARE (UK) LTD,Social care,"£1,430"
8001542054,SEVACARE (UK) LTD,Social care,"£1,429"
8001542220,SEVACARE (UK) LTD,Social care,"£1,429"
8001542655,GATEWAY LEGAL & PROF SRVS (UK) LTD,"Construction, Property and Fac Man","£1,426"
8001542658,GATEWAY LEGAL & PROF SRVS (UK) LTD,"Construction, Property and Fac Man","£1,426"
8001542675,GATEWAY LEGAL & PROF SRVS (UK) LTD,"Construction, Property and Fac Man","£1,426"
8001542676,LOUISIANNA PROPERTIES LTD,"Construction, Property and Fac Man","£1,426"
8001542702,TOWER ESTATES (LODGE) LIMITED,Temporary Accommodation,"£1,426"
8001542718,TOWER ESTATES (LODGE) LIMITED,"Construction, Property and Fac Man","£1,426"
8001542722,TOWER ESTATES (LODGE) LIMITED,Temporary Accommodation,"£1,426"
8001542725,GATEWAY LEGAL & PROF SRVS (UK) LTD,"Construction, Property and Fac Man","£1,426"
8001542740,TOWER ESTATES (LODGE) LIMITED,"Construction, Property and Fac Man","£1,426"
1900785100,REDACTED PERSONAL DATA,Legal,"£1,425"
1900789180,LBH RECEIVERSHIP ACCOUNT,General,"£1,423"
1900789021,REDACTED PERSONAL DATA,Communication,"£1,420"
8001556126,INDEPENDENT PLUS LTD,"Construction, Property and Fac Man","£1,419"
8001561901,EXTRA MILE CARE COMPANY,Social care,"£1,418"
1900789104,PULSE HEALTHCARE LTD,People and Recruitment,"£1,418"
8001561761,EXTRA MILE CARE COMPANY,Social care,"£1,411"
1900788823,THAMES WATER UTILITIES LTD,Energy and Utilities,"£1,408"
8001544822,ABBEYDALE,Temporary Accommodation,"£1,407"
8001546990,ST ANNES RESIDENTIAL HOME,Temporary Accommodation,"£1,402"
8001562230,REDACTED PERSONAL DATA,Social care,"£1,401"
8001561153,LONDON CARE PLC,Social care,"£1,401"
5201117976,NORTHUMBERLAND PARK COMM SCHOOL,General,"£1,400"
5201120065,ENFIELD COUNCIL,Learning and Development,"£1,400"
8001555303,DILIGENT CARE SERVICES LTD,Temporary Accommodation,"£1,400"
8001555461,DILIGENT CARE SERVICES LTD,Social care,"£1,400"
8001559422,MAPLE CARE AND SUPPORT SERVICES LTD,Temporary Accommodation,"£1,400"
8001559423,MAPLE CARE AND SUPPORT SERVICES LTD,Temporary Accommodation,"£1,400"
8001550082,NORTH LONDON ASIAN CARE,Social care,"£1,396"
8001545207,ADR CARE HOMES LTD,Temporary Accommodation,"£1,396"
1900789866,HOMELINK LETTINGS & ESTATES LTD,Temporary Accommodation,"£1,395"
8001542598,REDACTED PERSONAL DATA,"Construction, Property and Fac Man","£1,395"
8001542611,LOUISIANNA PROPERTIES LTD,"Construction, Property and Fac Man","£1,395"
8001542621,LOUISIANNA PROPERTIES LTD,"Construction, Property and Fac Man","£1,395"
8001542634,LOUISIANNA PROPERTIES LTD,"Construction, Property and Fac Man","£1,395"
1900790033,RIG MEDICAL RECRUIT LTD,People and Recruitment,"£1,392"
1900790288,THAMES WATER UTILITIES LTD (PROPERT,Children and Education,"£1,391"
8001556142,ATLANTIC LODGE  LTD,"Construction, Property and Fac Man","£1,390"
5201119589,MYERS (IDEAL SUPPLIES) LTD,General,"£1,390"
8001544819,WGC HOUSING ASSOCIATION LTD,Temporary Accommodation,"£1,388"
5201120216,TNT POST LONDON LTD,General,"£1,388"
1900790312,MOYGLEN CONSTRUCTION LTD,"Construction, Property and Fac Man","£1,387"
1900790358,ASSURED SECURITY LIMITED,"Construction, Property and Fac Man","£1,385"
8001555571,MAISON MOTI LTD,Social care,"£1,385"
8001551943,OASIS CARE & TRAINING AGENCY,Social care,"£1,382"
5201119733,NPS LONDON LTD,"Construction, Property and Fac Man","£1,380"
8001542275,SEVACARE (UK) LTD,Social care,"£1,376"
5201119960,BAAF REGISTERED CHARITY,Communication,"£1,374"
8001561581,SUPERIOR CARE LTD,Temporary Accommodation,"£1,371"
1900788825,THAMES WATER UTILITIES LTD,Energy and Utilities,"£1,366"
8001541841,TOWER ESTATES (LODGE) LIMITED,Temporary Accommodation,"£1,364"
8001542703,ATLAS PROPERTY LONDON LTD,Temporary Accommodation,"£1,364"
8001542733,LOUISIANNA PROPERTIES LTD,Temporary Accommodation,"£1,364"
8001542734,LOUISIANNA PROPERTIES LTD,"Construction, Property and Fac Man","£1,364"
5201119479,2CQR LTD,IT and Telecoms,"£1,360"
200337468,PHOENIX COMMUNITY CARE LTD,Social care,"£1,360"
1900790382,PULSE HEALTHCARE LTD,People and Recruitment,"£1,359"
1900790029,ANNA HOUSE LTD,General,"£1,358"
5201120041,PLM OFFICE SOLUTION,General,"£1,358"
8001544640,REDACTED PERSONAL DATA,Temporary Accommodation,"£1,358"
8001560022,DE BOHUN CARE LTD,Temporary Accommodation,"£1,355"
1900790299,PREMIER CAREWAITING LTD,General,"£1,355"
8001546241,OAK TREE CARE SERVICES LIMITED,"Construction, Property and Fac Man","£1,351"
200337448,HORNSEY HOUSING TRUST,Social care,"£1,350"
200337450,HORNSEY HOUSING TRUST,Social care,"£1,350"
1900789214,REDACTED PERSONAL DATA,Finance,"£1,350"
5201117984,ALLEN LANE LTD,Finance,"£1,350"
5201118442,REDACTED PERSONAL DATA,Social care,"£1,350"
5201118578,ALLEN LANE LTD,Finance,"£1,350"
5201120058,PWP FS PRINT AND DESIGN,Communication,"£1,350"
